Department,Revised_Department,Group_Name,Building,Notes
pharmacology & neuroscience,Pharmacology & Experimental Neuroscience,%stessmanlab,,UNMC
history,History,%lesueurfilms%dhhub,Oldfather Hall,
systems,Systems,%unolibrary,,UNO
department of medical microbiology and immunology,Medical Microbiology and Immunology,%swansonlab,,UNMC
test,Holland Computing Center,%hcctest,Schorr Center,
department of agronomy & horticulture,Agronomy and Horticulture,%daslab,Beadle Center,
agriculture,Agronomy and Horticulture,%farmresearch,Beadle Center,
deprtament of agronomy and horticulture,Agronomy and Horticulture,%soilkaiser,Beadle Center,
communication disorders,Special Education and Communication Disorders,%unklclab,Barkley Memorial Center,
nebraska center for virology,Animal Science,%vulab,Animal Science Complex,
environmental science,Environmental Studies,%cormanlab,Hardin Hall,
department of plant pathology,Plant Pathology,%fungeco,Plant Sciences Hall,
nebraska cooperative fish and wildlife research unit,School of Natural Resources,%sonsthagen,Hardin Hall,
cggs,Electrical & Computer Engineering,%zhangyan,Scott Engineering Center,
"teaching, learning and teacher ed","Teaching, Learning and Teacher Education",%lanalytics,Carolyn Pope Edwards Hall,
nic,Food Science & Technology,%synbiotic,Food Innovation Center,
dept of finance banking and real est,Finance,%unofinance,Howard L. Hawks Hall,
school of veterinary medicine & biomedical sciences,School of Veterinary Medicine and Biomedical Sciences,%desaul,Veterinary Medicine and Biomedical Sciences Hall,
"hlth pr, soc and behv health",Health & Behavioral Health,%silva%roganlab,,UNMC
news - editorial,News-Editorial,%jomc491,Andersen Hall,
pulmonary,Pulmonary,%samuelsonlab,,UNMC
communication and biology,Communication,%harnerlab,Louise Pound Hall,UNK?
deans/directors,Mechanical & Materials Engineering,%hgjgjgl,Nebraska Hall,
khfkjdshfk,Mechanical & Materials Engineering,%hjkjfhjf,Nebraska Hall,
global engagement,Mechanical & Materials Engineering,%ksdjslfkj%iii,Nebraska Hall,
business,Mechanical & Materials Engineering,%reza,Nebraska Hall,
art and design,Art and Art History,%jkl,Richards Hall,
ecampus,Mechanical & Materials Engineering,%iop,Nebraska Hall,
university honors program,Mechanical & Materials Engineering,%asdfweq,Nebraska Hall,
graduate studies,Graduate Studies,%popo,,Dummy account?
online and distance education,Mechanical & Materials Engineering,%rqwerqwer%qwrewerqrew,Nebraska Hall,
ode independent study hs,Mechanical & Materials Engineering,%oij,Nebraska Hall,
ode professional programs,Mechanical & Materials Engineering,%qwerqwerqwer,Nebraska Hall,
default,Ophthalmology and Visual Sciences,%thoresonlab,,UNMC
department of chemistry and biochemistry,Department of Chemistry and Biochemistry,%mlong,Hamilton Hall,Creighton?
architectural engineeing,Architectural Engineering,%bakht2,Nebraska Hall,
sponsored programs,Sponsored Programs,%ored,Canfield Administration Building North,
research finance and information systems,Finance,%oredrfis,Howard L. Hawks Hall,
school of natural resources; department of agronomy and horticulture,Agronomy and Horticulture,%uden,Beadle Center,
communication,Communication Studies,%unotv,Louise Pound Hall,
gi,Internal Medicine,%mannonlab,,UNMC
"textiles, merchan and fashion design",Apparel Design,%fashion,Gwendolyn A. Newkirk Human Sciences Building,
pharmacy sciences,Pharmaceutical Sciences,%sarkarlab,,UNMC
geography/geology,Geography/Geology,%dvecelliolab,Bessey Hall,
school of criminology and crim justice,Criminal Justice,%deitzersccj,Nebraska Hall,
